Amber glass,"240, 60, 70"
Anthracite Golden paint,"250, 120, 50"
Antique gold,260
Baroque pattern,260
Base with antique bronze,260
Beige Organza,"150, 64"
Black,120
Black Organza,"120, 64"
Blue,130
Brown,140
Brushed nickel,250
Cherry wood,250
Chrome plated,240
Chrome plated frame,240
Clear,148
Cream,150
Flower Pattern,64
Frosted,270
Gass Craclee,"148, 60, 240, 260"
Gold,"240, 50"
Gold plated,240
Green,170
Grey,160
Grey Organza,"160, 64"
Matt nickel,250
Opal,"270, 210, 60"
Orange,180
Pink,190
Polished chrome,240
Purple,195
Red,200
Red Organza,"200, 64"
Silver,160
Transparent,148
Wedge wood,250
White,210
White Organza,"210, 64"
Yellow,220
